Date,Price,Open,High,Low,Volume,Change(%),DayName,Year
2024-01-05,3737.9,3675.0,3747.75,3674.85,1963127,1.94,Friday,2024
2024-01-04,3666.8,3701.75,3719.0,3651.0,3598144,-0.68,Thursday,2024
2024-01-03,3691.75,3767.0,3771.85,3687.05,1803075,-2.42,Wednesday,2024
2024-01-02,3783.2,3811.1,3811.1,3767.25,1344068,-0.73,Tuesday,2024
2024-01-01,3811.1,3790.0,3832.0,3773.0,825907,0.47,Monday,2024
2023-12-29,3793.4,3792.0,3822.6,3765.4,1574996,-0.17,Friday,2023
2023-12-28,3799.9,3824.0,3838.0,3792.1,1682889,-0.3,Thursday,2023
2023-12-27,3811.2,3799.0,3818.2,3768.0,1293976,0.41,Wednesday,2023
2023-12-26,3795.55,3819.85,3834.0,3790.15,1285231,-0.74,Tuesday,2023
2023-12-22,3824.0,3800.0,3845.95,3762.0,2413058,0.96,Friday,2023
2023-12-21,3787.5,3756.25,3806.7,3743.35,1517562,0.2,Thursday,2023
2023-12-20,3780.05,3827.25,3898.8,3766.55,2586083,-0.95,Wednesday,2023
2023-12-19,3816.2,3845.0,3855.1,3790.0,2004435,-1.11,Tuesday,2023
2023-12-18,3859.2,3858.1,3929.0,3830.15,2521612,-0.05,Monday,2023
2023-12-15,3861.0,3666.7,3895.95,3666.7,8531230,5.28,Friday,2023
2023-12-14,3667.25,3630.0,3678.0,3627.6,3290396,2.05,Thursday,2023
2023-12-13,3593.55,3643.55,3650.0,3563.0,3850968,-2.14,Wednesday,2023
2023-12-12,3672.1,3638.95,3698.4,3631.0,2236866,0.8,Tuesday,2023
2023-12-11,3642.9,3622.9,3653.0,3615.0,1102503,0.45,Monday,2023
2023-12-08,3626.7,3633.0,3645.0,3602.05,1641155,0.33,Friday,2023
2023-12-07,3614.9,3605.0,3630.55,3591.7,1967653,0.3,Thursday,2023
2023-12-06,3604.1,3532.6,3612.85,3525.15,1896572,2.05,Wednesday,2023
2023-12-05,3531.6,3538.0,3538.0,3502.8,1377656,0.55,Tuesday,2023
2023-12-04,3512.45,3544.65,3547.8,3498.0,1625213,0.02,Monday,2023
2023-12-01,3511.65,3500.0,3516.95,3490.05,1172141,0.69,Friday,2023
2023-11-30,3487.6,3499.45,3516.65,3481.0,3266235,-0.74,Thursday,2023
2023-11-29,3513.75,3481.0,3518.0,3475.8,1441634,1.26,Wednesday,2023
2023-11-28,3470.15,3457.1,3481.25,3433.0,1689195,0.38,Tuesday,2023
2023-11-24,3457.1,3494.25,3504.55,3453.0,1989733,-1.46,Friday,2023
2023-11-23,3508.25,3530.0,3544.0,3500.0,2729804,-0.62,Thursday,2023
2023-11-22,3530.15,3500.0,3532.65,3481.1,1798051,0.57,Wednesday,2023
2023-11-21,3510.2,3519.6,3539.05,3501.0,1807236,-0.27,Tuesday,2023
2023-11-20,3519.6,3491.25,3533.9,3491.25,1475621,0.49,Monday,2023
2023-11-17,3502.45,3497.85,3524.5,3492.55,2021292,0.13,Friday,2023
2023-11-16,3497.85,3430.05,3529.35,3414.2,3951984,2.75,Thursday,2023
2023-11-15,3404.3,3383.1,3413.0,3356.05,2059802,2.18,Wednesday,2023
2023-11-13,3331.55,3356.0,3356.0,3327.0,1030990,-0.77,Monday,2023
2023-11-12,3357.3,3350.0,3359.0,3345.0,173346,0.72,Sunday,2023
2023-11-10,3333.45,3338.0,3347.45,3322.35,1338557,-0.42,Friday,2023
2023-11-09,3347.45,3390.1,3391.5,3342.05,2112352,-1.01,Thursday,2023
2023-11-08,3381.55,3371.45,3401.95,3369.55,992899,0.33,Wednesday,2023
2023-11-07,3370.45,3378.0,3404.15,3366.0,1191144,-0.29,Tuesday,2023
2023-11-06,3380.25,3375.0,3392.3,3359.0,1099852,0.88,Monday,2023
2023-11-03,3350.9,3382.0,3387.9,3344.3,1402598,-0.27,Friday,2023
2023-11-02,3360.1,3343.2,3375.95,3343.2,1245384,0.88,Thursday,2023
